variable,description,type,recommendation,statistical_evidence,adjusted_odds_ratio,adjusted_p_value,modelling_note
booking_lead_days,Days between booking and appointment,Numeric,INCLUDE - PRIMARY,"Strongest validated driver: chi2=318.1, p<0.001, V=0.252 (moderate)",1.035,0.0000,Available at booking. Consider also supplying the 0-7/8-14/15-30/31-60 band as a categorical feature.
previous_no_shows,Count of the patient's prior no-shows,Numeric,INCLUDE - PRIMARY,"Second validated driver: chi2=77.8, p<0.001, V=0.125 (weak but clear)",1.485,0.0000,PATIENT-HISTORY FEATURE - the main reason a patient-grouped split is required. Collapse to 0/1/2+ for any banded use; counts of 4 and 5 have n=12 and n=3.
distance_to_clinic_km,Distance from patient to clinic,Numeric,INCLUDE - SECONDARY,"Significant but negligible effect: chi2=22.4, p<0.001, V=0.068",1.022,0.0000,90 missing values (1.8%). Impute by median or add a missingness indicator; do not drop the rows.
reminder_sent,Whether a reminder was sent,Binary,INCLUDE - SECONDARY,Weak unadjusted (V=0.036) but STRENGTHENS after adjustment,0.830,0.0059,"The only clinic-controlled variable. Value to the clinic is as an intervention lever, so keep it even though the effect is small."
appointment_type,Type of appointment,Categorical,OPTIONAL,"Marginal unadjusted (p=0.048, V=0.040); NOT significant after adjustment (p>=0.228)",see model,0.228,Retain only if it earns its place in feature selection. Do not expect it to contribute.
previous_appointments,Count of the patient's prior appointments,Categorical,OPTIONAL,Not significant after adjustment (p=0.440),0.985,0.4399,May be useful as a denominator for a derived prior-no-show RATE feature; weak on its own.
age,Patient age,Numeric,OPTIONAL,Age group not significant (p=0.091); continuous age borderline (p=0.080),0.997,0.0802,Borderline. Include only if feature selection supports it.
gender,Patient gender,Categorical,EXCLUDE,"No significant association (chi2=1.12, p=0.572, V=0.015)",see model,>0.15,No signal. Also carries fairness risk for a patient-facing prioritisation tool with no offsetting benefit.
appointment_day,Day of week,Categorical,EXCLUDE,"No significant association (chi2=4.48, p=0.612, V=0.030)",not modelled,n/a,No signal.
appointment_time,Morning / Afternoon / Evening,Categorical,EXCLUDE,"No significant association (chi2=0.57, p=0.751, V=0.011)",see model,>0.38,No signal - the weakest variable tested.
age_group,Banded age,Categorical,EXCLUDE,"No significant association (chi2=9.51, p=0.091, V=0.044)",not modelled,n/a,Redundant with age; no signal.
waiting_time_minutes,Recorded waiting time,Numeric,EXCLUDE - DATA INTEGRITY,"No association (chi2=2.22, p=0.696) AND populated for 2,386 no-shows",not modelled,n/a,A non-attended appointment cannot have a clinic waiting time. Field definition is under query with Project Management. Do not use until resolved.
reminder_channel,SMS / WhatsApp / Email,Categorical,EXCLUDE,"Not significant (chi2=4.88, p=0.087); 1,366 structurally missing where no reminder sent",not modelled,n/a,"Structural missingness must be encoded as 'not applicable', never 'unknown', if it is used at all."
patient_id,Patient identifier,Identifier,GROUPING KEY - DO NOT USE AS FEATURE,"1,696 patients across 5,000 appointments; 94.0% of appointments belong to a repeat patient",n/a,n/a,USE AS THE GROUP KEY FOR SPLITTING (GroupKFold). A random split leaks patient history across train and test.
appointment_date,Date of appointment,Date,SPLIT KEY - NOT A FEATURE,"No material temporal drift: monthly rate 42.2-53.8%, SD 2.9 pp, no trend",n/a,n/a,Use for a chronological holdout as a secondary validation check.
