issue_id,first_raised,issue,category,status,severity,impact,owner_track,mitigation_or_resolution
ISS-01,Week 4-5,Group differences reported without significance testing,Analytical,Resolved in Week 6,High,Six Week 5 insights were presented as comparably weighted findings when their evidential strength differs sharply,Data Analytics,"All 11 relationships tested with chi-square, Cramer's V and Wilson 95% CIs (notebook Section 4)"
ISS-02,Week 5,Small subgroups quoted as reliable rates (100% at 5 previous no-shows),Analytical,Resolved in Week 6,High,A rate based on 3 appointments could have driven a patient-flagging policy,Data Analytics,"Quantified as n=3, 95% CI 43.85-100%; withdrawn; history collapsed to 0/1/2+ bands"
ISS-03,Week 5,One-variable-at-a-time analysis cannot separate real drivers from noise,Analytical,Resolved in Week 6,High,Weak associations could not be distinguished from spurious ones,Data Analytics,Multivariate logistic regression; five variables shown to have no independent association (notebook Section 5)
ISS-04,Week 5,No cross-track collaboration completed,Project,Resolved in Week 6,High,Analytical findings were not reaching the modelling track,Data Analytics / Data Science,Five-artefact evidence pack transferred; eight-item exchange log (notebook Section 12)
ISS-05,Week 5,KPIs described the dataset but did not support decisions,Analytical,Resolved in Week 6,Medium,Reported KPIs gave the clinic no target to act on,Data Analytics,"Four KPIs validated, four decision-relevant KPIs added (notebook Section 8)"
ISS-06,Week 5,Reminder assignment is not randomised,Analytical,OUTSTANDING,High,The 4.22pp reminder effect remains associational; recommendation R1 is testable but not proven,Data Analytics,Not resolvable from this dataset. Week 7 T3 sensitivity analysis and T4 controlled test design
ISS-07,Week 5,"90 missing distance values, 60 missing waiting times",Data,OUTSTANDING (documented),Low,"Distance analyses run on 4,910 of 5,000 records",Data Analytics / ML Engineering,Not imputed; documented. Pipeline must impute by median or add a missingness indicator
ISS-08,Week 4,Dataset holds no clinical or socioeconomic context,Data,OUTSTANDING,High,"Pseudo R-squared = 0.075. Likely drivers (transport cost, work commitments, cost of care) are not captured",Project Management,Outside the dataset. Reported as a ceiling on achievable model performance
ISS-09,Week 6,"NEW: waiting_time_minutes recorded for 2,386 no-shows, mean indistinguishable from attended appointments",Data,NEW - OPEN,High,A non-attended appointment cannot accrue a clinic waiting time; the Week 5 waiting-time analysis is not interpretable as stated,Project Management / Data Analytics,Excluded from Week 6 analysis and from the DS feature set. Definition query raised against the Knowledge Base. Week 7 T7
ISS-10,Week 6,"NEW: 5,000 appointments belong to only 1,696 patients; 94.0% belong to a repeat patient",Analytical / Modelling,NEW - RESOLVED via integration,High,A random train/test split leaks patient history and inflates reported model performance,Data Science,Patient-grouped split (GroupKFold on patient_id) agreed; chronological holdout added as a secondary check
ISS-11,Week 6,NEW: Week 5 SMS channel recommendation is not statistically supported,Analytical,NEW - RESOLVED,Medium,Acting on it would have committed clinic resources to a difference indistinguishable from chance,Data Analytics,Overall channel test p=0.087; SMS vs WhatsApp p=0.032 fails Bonferroni 0.0167. Recommendation withdrawn; Week 7 T4 proposes a controlled test
ISS-12,Week 6,"NEW: reminder coverage is flat across risk levels (72.68% overall, 72.78% for 31+ day bookings)",Operational,NEW - OPEN,Medium,The clinic's only controllable lever is not directed at its highest-risk appointments,Project Management,Captured as the High-Risk Reminder Coverage Gap KPI and as recommendation R1 (660 appointments)
ISS-13,Week 6,NEW: 18 months of data contain no record of any clinic intervention,Data,NEW - OPEN,Low,No before/after comparison is possible; all findings are cross-sectional,Project Management,Week 7 measurement plan proposes recording intervention flags going forward
